IRIS,DISP_MED21
920500204,32030.0
920500205,
920500206,25980.0
920500301,26440.0
920500302,27490.0
920500303,17590.0
920500401,31140.0
920500403,
920500406,27250.0
920500407,19200.0
920500408,
920500501,16350.0
920500502,15170.0
920500503,16250.0
920500504,14920.0
920500505,16280.0
920500508,18610.0
920500509,20960.0
920500510,24500.0
920500511,29130.0
920500601,17410.0
920500602,21390.0
920500605,19520.0
920500606,17580.0
920500607,
920500701,
920500702,16460.0
920500703,16360.0
920500704,16170.0
920500801,25750.0
920500802,22380.0
920500803,19650.0
920500804,16410.0
920500805,15010.0
920510101,60670.0
920510102,50500.0
920510103,43220.0
920510104,53000.0
920510201,52820.0
920510202,47280.0
920510301,40380.0
920510302,45240.0
920510303,51570.0
920510304,42970.0
920510305,49240.0
920510306,40160.0
920510307,51180.0
920510308,44360.0
920510309,31190.0
920510401,44320.0
920510402,46590.0
920510403,62570.0
920510404,41760.0
920510405,43230.0
920510406,50430.0
920510407,52730.0
920510408,53310.0
920510409,54900.0
920510410,50540.0
920510411,53600.0
920600101,30570.0
920600102,25970.0
920600104,32450.0
920600105,21570.0
920600106,30050.0
920600107,34310.0
920600108,35490.0
920600109,32360.0
920600110,28960.0
920620101,32560.0
920620102,
920620103,30600.0
920620201,28380.0
920620202,23810.0
920620203,35190.0
920620204,23470.0
920620205,28670.0
920620301,35270.0
920620302,32210.0
920620303,38490.0
920620304,32710.0
920620305,25710.0
920620306,38630.0
920620401,32690.0
920620402,34160.0
920620403,34290.0
920620404,37290.0
920630101,21560.0
920630102,29870.0
920630103,38630.0
920630104,39560.0
920630105,25330.0
920630106,34260.0
920630201,38700.0
920630202,40180.0
920630301,32080.0
920630302,39280.0
920630401,54290.0
920630501,32760.0
920630502,37790.0
920630503,34980.0
920630504,37810.0
920630601,26680.0
920630602,18470.0
920630603,32490.0
920630701,38180.0
920630702,24670.0
920630703,32360.0
920630704,
920630705,
920630706,29080.0
920630707,28920.0
920630801,38140.0
920630802,31010.0
920630803,35620.0
920630804,35370.0
920630805,39610.0
920630806,31060.0
920640101,33130.0
920640102,40120.0
920640103,43550.0
920640104,41010.0
920640105,36790.0
920640106,37540.0
920640107,38790.0
920640108,46140.0
920640109,46550.0
920640110,43050.0
920640111,39790.0
920640112,33120.0
920710101,34130.0
920710102,40900.0
920710103,36160.0
920710104,41880.0
920710105,37240.0
920710106,37330.0
920710107,21750.0
920710108,41380.0
920720101,32340.0
920720102,37510.0
920720103,40410.0
920720104,30170.0
920720105,32040.0
920720106,25120.0
920720107,28650.0
920720108,25960.0
920720109,45390.0
920720110,46090.0
920730101,34090.0
920730102,35150.0
920730103,36310.0
920730104,36650.0
920730105,
920730106,
920730108,26060.0
920730109,
920730110,
920730111,30770.0
920730112,34050.0
920730113,32210.0
920730114,38690.0
920730115,
